"filename", "language", "Python", "JavaScript", "HTML", "JSON", "PowerShell", "MS SQL", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\accessibilite-mobile.playwright.js", "JavaScript", 0, 1140, 0, 0, 0, 0, 0, 0, 63, 48, 1251
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\boss-account-retention.test.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 10, 187
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\boss-reports-schema.test.js", "JavaScript", 0, 386, 0, 0, 0, 0, 0, 0, 0, 20, 406
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\helpers\load-app.js", "JavaScript", 0, 335, 0, 0, 0, 0, 0, 0, 7, 13, 355
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\mon-suivi.test.js", "JavaScript", 0, 228, 0, 0, 0, 0, 0, 0, 3, 11, 242
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\pages-workflow.test.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 3, 6, 80
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\potentiel-commun.playwright.js", "JavaScript", 0, 339, 0, 0, 0, 0, 0, 0, 0, 32, 371
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\potentiel-commun.test.js", "JavaScript", 0, 500, 0, 0, 0, 0, 0, 0, 33, 50, 583
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\pwa-update.playwright.js", "JavaScript", 0, 318, 0, 0, 0, 0, 0, 0, 15, 19, 352
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\pwa.test.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 4, 8, 91
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\reminder.test.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 9, 10, 118
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\roster-schema.test.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 1, 17, 202
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\scrollbars-invisibles.playwright.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\stats-build-schema.test.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\stats-build.test.js", "JavaScript", 0, 653, 0, 0, 0, 0, 0, 0, 29, 43, 725
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\supabase-etape1.playwright.js", "JavaScript", 0, 5610, 0, 0, 0, 0, 0, 0, 111, 195, 5916
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\test_generate_armures_liees.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\test_generate_stats.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 1, 25, 109
"c:\Users\yanni\Desktop\Site Confrérie 7ds\tests\test_generate_stats_build.py", "Python", 289, 0, 0, 0, 0, 0, 0, 0, 0, 30, 319
"Total", "-", 1110, 13437, 8899, 498769, 102, 844, 14182, 90, 468, 4988, 542889
